FIPS,County,State,Met_Breast_Screen,Met_Cervical_Screen,Met_Colon_Screen,Currently_Smoke,BMI_Obese,Physically_Inactive,Binge_Drinking,Sleep_Debt,Cancer_Prevalence,Bad_Health,Poor_Physical,Poor_Mental,Depression,Diabetes_DX,High_BP,BP_Medicine,CHD,Had_Stroke,Kidney_Disease,Asthma,COPD,No_Teeth,Recent_Checkup,Recent_Dentist
51001,Accomack County,Virginia,74.0,81.9,74.1,18.6,39.9,30.7,12.5,36.9,8.7,23.2,14.8,15.4,20.5,16.6,45.5,84.3,8.9,4.9,4.3,11.2,10.6,14.2,80.3,59.2
51007,Amelia County,Virginia,74.8,83.1,74.4,18.4,40.1,27.7,14.8,36.0,8.0,20.4,13.6,16.2,22.4,14.5,41.0,82.2,7.6,4.2,3.8,10.8,9.4,12.2,76.7,63.2
51011,Appomattox County,Virginia,74.2,83.9,75.8,18.1,40.0,26.9,14.7,36.3,8.1,19.3,13.1,16.2,22.6,13.3,40.3,80.9,7.4,4.0,3.7,10.8,9.0,11.2,77.6,65.1
51025,Brunswick County,Virginia,76.3,82.4,73.9,20.6,43.9,30.9,13.6,39.5,7.4,24.7,14.6,16.8,19.5,16.9,45.3,81.4,8.0,5.0,4.2,11.4,9.8,15.9,79.3,55.7
51029,Buckingham County,Virginia,72.7,82.1,71.6,22.2,41.2,30.0,14.7,38.0,7.5,23.7,14.7,17.0,21.7,15.6,43.8,80.7,8.0,4.6,4.0,11.1,10.3,14.6,77.7,57.6
51031,Campbell County,Virginia,72.0,83.0,72.3,17.5,33.7,26.9,14.7,36.6,8.1,18.3,12.7,16.1,22.1,12.6,37.0,81.6,7.2,3.8,3.6,10.6,8.7,11.1,77.9,66.0
51033,Caroline County,Virginia,75.7,84.7,75.0,16.9,38.0,25.6,15.8,37.1,7.1,17.6,11.8,15.7,22.2,12.4,37.4,79.9,6.2,3.6,3.3,10.6,7.4,10.8,76.8,63.8
51036,Charles City County,Virginia,76.7,83.3,74.0,18.8,41.3,30.2,12.7,38.0,8.6,23.8,14.7,15.5,19.8,18.0,47.9,84.3,8.6,5.4,4.6,11.4,10.0,14.3,80.5,61.3
51037,Charlotte County,Virginia,72.2,81.7,70.6,19.9,42.5,30.1,13.5,37.4,8.5,22.9,14.8,16.7,22.1,16.2,44.4,82.8,8.6,4.8,4.2,11.3,10.5,15.4,78.6,57.1
51041,Chesterfield County,Virginia,76.7,85.6,73.6,13.1,36.2,20.6,17.0,35.8,7.1,14.3,9.6,14.7,19.2,10.6,36.0,78.3,5.1,2.9,2.9,10.3,5.9,7.8,77.5,68.8
51049,Cumberland County,Virginia,75.4,83.7,74.6,16.2,40.5,25.8,14.5,36.2,8.3,18.7,12.5,15.0,21.2,13.9,40.8,82.6,7.2,4.1,3.8,10.7,8.3,11.6,78.6,65.1
51053,Dinwiddie County,Virginia,76.5,83.9,75.5,18.2,42.8,26.4,15.0,37.4,7.4,18.7,12.4,15.9,21.1,13.4,39.9,80.4,6.6,3.8,3.5,10.7,8.0,12.2,77.9,62.8
51057,Essex County,Virginia,76.2,83.0,74.0,19.6,44.0,29.7,12.7,38.3,8.4,23.5,14.9,16.6,21.0,17.1,46.3,83.4,8.5,5.0,4.3,11.5,10.5,13.6,80.1,59.5
51073,Gloucester County,Virginia,74.4,82.9,75.1,15.6,35.6,22.2,15.0,35.8,8.3,15.9,11.6,14.7,22.0,11.5,37.1,80.5,6.6,3.4,3.3,10.2,7.8,9.0,77.6,65.6
51075,Goochland County,Virginia,77.4,85.5,78.0,11.7,34.0,19.0,14.9,32.3,8.6,13.6,10.0,12.8,19.9,11.0,37.0,81.8,6.2,3.2,3.3,9.7,6.5,7.2,78.8,73.1
51081,Greensville County,Virginia,76.6,82.8,72.9,22.0,46.3,29.8,15.6,43.5,6.0,23.5,13.5,16.6,18.6,15.4,44.0,78.1,6.6,4.3,3.6,11.0,8.4,15.7,76.6,56.4
51083,Halifax County,Virginia,73.0,82.7,74.7,19.1,43.7,31.4,12.5,36.8,8.7,23.6,14.9,16.7,21.4,17.1,46.5,83.6,8.7,5.1,4.4,11.4,10.5,13.4,80.3,60.4
51085,Hanover County,Virginia,79.1,85.3,75.9,12.3,32.1,17.9,17.0,31.3,8.0,13.8,10.1,14.0,20.8,10.0,32.8,80.2,5.7,3.0,3.0,9.9,6.4,6.8,77.2,74.6
51087,Henrico County,Virginia,78.9,85.2,75.3,13.2,36.9,22.8,15.7,35.1,6.8,14.7,10.1,14.7,18.0,11.7,37.1,78.4,5.2,3.1,3.0,10.2,5.7,7.9,77.2,73.9
51089,Henry County,Virginia,75.8,81.6,72.5,20.6,41.7,31.8,13.0,37.9,8.8,25.2,15.7,16.9,23.5,17.0,44.3,84.0,9.3,5.1,4.4,11.4,11.5,14.4,78.1,58.0
51093,Isle Of Wight County,Virginia,76.5,84.5,74.6,15.0,38.4,23.4,16.1,35.8,8.0,16.8,11.6,14.6,21.1,12.8,38.6,81.3,6.5,3.6,3.4,10.4,7.5,9.9,78.2,67.2
51095,James City County,Virginia,78.4,86.2,77.7,10.8,33.2,19.8,15.7,28.9,9.3,13.7,9.8,12.4,20.0,11.4,37.4,82.4,6.6,3.3,3.4,9.4,6.5,6.3,78.3,76.4
51097,King And Queen County,Virginia,76.2,84.6,74.5,17.3,39.9,26.4,14.3,36.5,8.4,20.1,13.3,15.2,21.1,15.2,43.3,83.0,7.9,4.4,3.9,10.8,9.2,10.2,78.5,67.0
51099,King George County,Virginia,76.7,85.2,73.7,14.3,36.8,21.1,17.1,34.9,6.8,14.7,10.3,15.0,21.1,10.5,35.2,77.7,5.3,2.9,2.9,10.1,6.3,8.3,75.3,70.1
51101,King William County,Virginia,76.4,84.2,74.7,16.1,39.5,22.7,16.4,37.2,7.3,15.7,11.2,15.6,23.5,11.3,36.6,79.1,5.9,3.3,3.1,10.5,7.2,9.4,76.0,65.2
51103,Lancaster County,Virginia,74.9,84.5,77.8,14.1,35.8,26.5,11.2,32.1,11.0,19.7,13.1,13.0,19.5,15.9,47.4,86.5,9.6,5.0,4.6,10.2,9.7,9.8,82.4,68.0
51109,Louisa County,Virginia,75.7,83.9,74.9,17.0,36.2,24.8,15.2,35.0,8.1,18.0,12.4,15.1,21.1,12.9,38.2,81.4,7.1,3.8,3.5,10.4,8.4,11.0,75.9,63.5
51111,Lunenburg County,Virginia,75.2,81.7,73.0,21.3,42.9,30.8,13.4,37.4,8.0,24.5,15.2,16.7,21.2,17.0,46.0,82.4,8.7,5.0,4.3,11.2,10.8,14.9,78.2,58.3
51115,Mathews County,Virginia,73.8,84.0,76.1,13.4,36.6,23.2,13.5,30.6,10.3,17.2,12.3,13.3,20.2,14.0,42.2,84.8,8.3,4.1,4.0,9.8,8.7,9.0,79.9,70.4
51117,Mecklenburg County,Virginia,75.3,83.7,74.9,18.0,39.9,30.0,12.4,36.1,8.9,21.9,14.2,15.5,20.1,16.7,46.5,84.4,8.7,4.9,4.4,11.1,10.0,12.9,80.7,62.1
51119,Middlesex County,Virginia,74.4,83.9,76.9,15.1,36.0,26.3,13.4,32.4,10.4,19.6,13.3,13.8,21.0,14.8,46.4,85.1,9.1,4.7,4.4,10.2,9.8,10.0,81.2,64.9
51127,New Kent County,Virginia,76.6,85.5,75.7,13.9,36.5,20.1,17.3,32.6,7.5,14.2,10.3,14.3,20.9,10.3,35.7,78.7,5.6,3.0,3.0,9.9,6.6,8.1,76.0,71.2
51131,Northampton County,Virginia,75.7,82.7,75.5,15.8,36.9,28.6,12.0,34.9,9.4,21.8,13.9,14.3,20.7,16.4,45.1,85.2,8.8,4.9,4.5,10.8,9.8,12.6,81.4,62.4
51133,Northumberland County,Virginia,73.8,84.1,78.1,14.2,37.2,25.9,11.2,31.0,10.9,20.1,13.6,13.1,19.3,16.0,46.8,85.7,9.8,5.0,4.6,10.2,9.9,9.7,80.7,67.7
51135,Nottoway County,Virginia,71.8,82.5,71.2,20.9,39.6,30.1,14.5,39.9,7.2,23.2,14.1,16.9,20.9,15.5,43.0,79.7,7.6,4.5,3.9,11.1,9.5,13.7,76.6,57.3
51143,Pittsylvania County,Virginia,76.4,82.4,72.6,18.9,41.9,30.1,13.0,35.4,8.6,22.7,14.7,16.2,21.7,16.5,44.6,84.0,8.6,4.7,4.2,11.1,10.4,12.6,78.6,61.8
51145,Powhatan County,Virginia,74.8,85.2,75.0,14.0,34.6,20.4,17.4,32.7,8.0,14.3,10.6,14.2,21.9,10.5,36.9,79.7,6.0,3.1,3.0,10.0,6.9,8.6,76.3,71.0
51147,Prince Edward County,Virginia,74.6,80.3,73.6,16.6,37.7,26.2,15.5,34.8,6.1,19.4,12.1,19.1,23.6,12.4,35.3,77.8,6.2,3.6,3.3,11.6,7.9,13.3,75.2,60.8
51149,Prince George County,Virginia,75.0,85.0,75.7,17.0,42.6,24.2,16.2,37.3,6.5,17.7,11.6,16.0,20.6,12.1,36.7,77.3,5.8,3.4,3.1,10.5,7.1,10.0,77.8,66.7
51159,Richmond County,Virginia,74.5,82.0,73.1,20.0,38.6,30.4,14.8,39.8,7.7,22.5,14.1,16.6,21.6,14.7,41.4,79.4,7.9,4.5,3.9,10.7,9.7,13.3,75.2,53.5
51175,Southampton County,Virginia,75.1,83.9,72.6,16.4,38.3,25.0,14.8,35.5,8.0,19.1,12.6,15.0,20.1,14.3,43.5,82.4,7.3,4.2,3.8,10.6,8.3,11.3,79.2,65.1
51177,Spotsylvania County,Virginia,74.6,84.2,76.9,13.6,36.3,22.0,16.1,33.6,6.9,15.4,10.6,14.9,21.4,10.6,35.1,78.0,5.4,3.0,2.9,10.1,6.3,8.3,76.6,68.5
51179,Stafford County,Virginia,77.7,86.3,74.6,12.0,38.0,19.0,17.8,36.5,6.0,13.0,9.1,14.6,21.7,9.4,32.6,74.4,4.3,2.4,2.5,10.0,4.9,7.5,75.7,70.3
51181,Surry County,Virginia,76.3,83.5,74.4,17.8,42.3,28.5,12.9,37.3,8.5,22.3,14.1,15.4,20.3,17.2,46.7,84.0,8.4,5.0,4.4,11.2,9.7,13.0,80.5,61.9
51183,Sussex County,Virginia,75.3,83.3,73.8,19.9,42.2,30.0,16.0,41.5,6.4,22.0,12.9,16.3,19.0,14.4,42.9,78.0,6.6,4.3,3.7,10.7,8.1,14.1,78.4,59.2
51193,Westmoreland County,Virginia,74.0,83.2,74.6,18.8,38.6,29.7,13.1,37.5,9.0,22.9,14.6,15.7,21.4,16.1,44.2,83.7,8.9,4.9,4.3,11.0,10.5,12.2,77.3,60.9
51199,York County,Virginia,77.3,85.6,75.8,11.0,33.8,17.8,16.0,33.3,7.3,12.4,9.1,13.3,19.1,9.7,32.4,79.2,5.2,2.8,2.9,9.7,5.4,6.3,78.1,75.5
51550,Chesapeake City,Virginia,79.0,84.1,78.4,14.2,36.6,21.6,15.4,36.0,6.5,15.2,10.2,15.1,20.2,11.5,34.0,77.6,5.0,3.0,3.0,10.5,6.1,8.0,77.2,70.5
51570,Colonial Heights City,Virginia,75.2,84.0,74.5,14.9,37.4,23.5,15.6,35.1,7.9,16.0,11.3,15.2,22.0,11.1,36.5,80.0,6.2,3.3,3.2,10.4,7.2,8.9,77.5,67.3
51590,Danville City,Virginia,76.4,82.1,72.5,20.7,44.3,33.5,11.9,40.0,7.6,25.5,15.2,17.7,21.3,17.8,46.7,82.8,8.3,5.2,4.4,12.3,10.5,15.4,80.4,55.9
51595,Emporia City,Virginia,74.1,81.3,70.5,23.6,46.6,37.8,11.1,42.1,7.5,30.7,17.4,18.9,21.1,20.7,49.7,83.3,9.3,6.2,5.0,13.0,11.9,18.9,80.7,50.4
51620,Franklin City,Virginia,76.9,83.8,73.5,19.7,43.6,31.7,12.1,39.6,7.7,24.8,14.9,17.4,20.9,17.6,46.0,82.8,8.0,5.1,4.4,12.3,10.0,13.7,80.0,59.4
51630,Fredericksburg City,Virginia,74.2,82.2,74.6,12.8,34.0,21.1,17.5,33.8,5.4,14.0,9.5,17.3,23.1,9.1,29.1,74.1,4.2,2.5,2.5,10.9,5.3,8.7,73.5,68.8
51650,Hampton City,Virginia,79.4,83.6,76.4,16.9,41.8,26.2,14.7,39.7,6.4,19.0,11.6,16.6,21.0,13.4,39.4,79.8,5.8,3.7,3.4,11.6,6.9,10.9,78.5,61.7
51670,Hopewell City,Virginia,73.6,81.9,70.7,22.1,45.4,33.9,13.5,43.3,6.7,25.1,15.3,18.9,22.6,16.2,41.7,79.7,7.3,4.5,3.9,12.2,10.0,15.5,76.8,54.0
51680,Lynchburg City,Virginia,74.1,80.7,74.0,14.4,34.5,22.2,16.5,33.8,5.6,15.9,10.5,18.7,24.0,10.1,32.2,74.9,5.0,2.9,2.8,11.3,6.3,9.9,74.5,65.3
51690,Martinsville City,Virginia,74.6,82.6,72.5,20.5,44.7,31.0,13.0,39.6,7.3,24.6,15.0,18.1,22.3,17.2,44.8,81.9,7.7,4.7,4.1,12.2,10.0,14.4,79.5,56.1
51700,Newport News City,Virginia,75.6,83.2,74.7,17.5,45.0,26.8,16.7,37.6,6.2,18.9,11.8,17.4,21.1,13.2,39.3,77.3,5.7,3.4,3.3,11.8,7.0,10.0,78.3,64.3
51710,Norfolk City,Virginia,79.7,81.9,77.4,16.3,39.1,22.5,17.4,40.3,5.1,16.7,10.6,17.3,20.2,10.8,31.2,75.3,4.7,3.0,2.8,11.1,6.0,11.0,76.4,61.0
51730,Petersburg City,Virginia,79.7,82.9,75.0,20.0,45.8,32.3,11.6,43.6,6.3,25.8,14.3,18.0,20.1,18.6,48.4,81.3,7.1,5.1,4.3,12.8,8.8,17.2,80.9,56.9
51735,Poquoson City,Virginia,76.3,85.7,76.4,12.3,32.1,18.4,17.2,30.4,8.1,12.5,9.7,13.4,21.2,9.5,33.2,79.3,5.7,2.8,2.9,9.4,6.2,6.6,75.3,73.2
51740,Portsmouth City,Virginia,79.1,83.5,76.7,18.0,47.4,28.7,14.3,43.6,6.3,20.7,12.4,16.7,20.6,15.3,41.6,79.2,6.0,3.9,3.5,12.0,7.6,11.4,79.5,59.4
51760,Richmond City,Virginia,79.0,82.8,75.6,16.0,32.5,21.9,19.4,34.6,5.6,17.6,11.0,18.6,22.0,12.0,34.3,76.5,5.2,3.3,3.1,11.2,6.4,11.9,74.3,61.0
51800,Suffolk City,Virginia,78.2,85.7,75.7,15.2,42.8,24.7,15.6,36.1,6.6,16.9,11.3,16.0,21.1,12.2,38.6,79.5,5.5,3.4,3.2,11.0,6.6,9.4,78.2,67.4
51810,Virginia Beach City,Virginia,79.3,84.6,77.3,13.5,31.5,19.3,16.2,33.9,6.5,13.7,9.6,14.3,20.3,10.3,30.6,79.2,4.9,2.8,2.8,9.8,5.5,6.7,76.1,70.5
51830,Williamsburg City,Virginia,74.9,78.7,76.9,11.2,29.7,20.2,16.7,32.5,6.0,13.6,9.5,17.9,23.6,9.0,28.8,76.5,4.9,2.6,2.7,11.0,5.7,8.3,74.1,70.2
